time_sec,x,y,path_length
1839.851,-1.9998316724164713,-0.5000011810965838,0.0
1839.885,-1.9998316762811048,-0.5000011812097419,3.8662898070874525e-09
1839.919,-1.9998316816530828,-0.5000011811714012,9.238404600630675e-09
1839.953,-1.9998316979521313,-0.5000011811992362,2.553747692367412e-08
1839.987,-1.9998317033836466,-0.5000011811699524,3.0969071101888465e-08
1840.021,-1.9998316985103213,-0.5000011811100743,3.584276424525138e-08
1840.055,-1.999831682871297,-0.5000011811782584,5.148193717932981e-08
1840.089,-1.9998316587064233,-0.500001181217924,7.564684339164165e-08
1840.123,-1.999831649046759,-0.5000011811807594,8.530657928664562e-08
1840.157,-1.9998316402630418,-0.5000011812300543,9.409043469597466e-08
1840.191,-1.9998316515045174,-0.5000011811988523,1.0533195352658638e-07
1840.225,-1.9998316681816084,-0.5000011812216953,1.2200906021242948e-07
1840.259,-1.9998316874603261,-0.5000011812638882,1.4128782411663608e-07
1840.293,-1.9998316996049184,-0.5000011812559042,1.5343241896175348e-07
1840.327,-1.9998317067896485,-0.5000011812549844,1.6061714916479386e-07
1840.361,-1.9998317049409295,-0.5000011812347732,1.6246597859673068e-07
1840.395,-1.9998316928004471,-0.5000011811858611,1.7460655952307957e-07
1840.429,-1.9998316701696863,-0.5000011811780302,1.9723732169883319e-07
1840.463,-1.999831637154436,-0.5000011812579326,2.3025266869869554e-07
1840.497,-1.9998316191098624,-0.500001181233039,2.4829725948281617e-07
1840.531,-1.9998316017589928,-0.5000011812585479,2.656481478639713e-07
1840.565,-1.9998316090737251,-0.5000011811892695,2.729632083021675e-07
1840.599,-1.99983162441718,-0.5000011812682514,2.883068665354458e-07
1840.633,-1.9998316354272667,-0.5000011812883922,2.9931697157740614e-07
1840.667,-1.9998316644439704,-0.5000011812602899,3.28333688892232e-07
1840.701,-1.9998316783220231,-0.5000011812198708,3.4221180045842525e-07
1840.735,-1.9998316816307122,-0.5000011812216905,3.4552049005927506e-07
1840.769,-1.9998316744405993,-0.5000011813106237,3.5271115298693376e-07
1840.803,-1.9998316615664746,-0.5000011813011982,3.6558528109246457e-07
1840.837,-1.9998316438362915,-0.5000011812911676,3.833154670292972e-07
1840.871,-1.9998316171849844,-0.5000011812625416,4.099667895639591e-07
1840.905,-1.9998315923988037,-0.5000011813006772,4.3475299956482955e-07
1840.939,-1.999831594279241,-0.5000011811979103,4.3663624296573625e-07
1840.973,-1.9998315995437606,-0.5000011813122063,4.4190200302565845e-07
1841.007,-1.9998316082392518,-0.5000011813196045,4.505974973888385e-07
1841.041,-1.9998316299322285,-0.5000011813040267,4.722904797303009e-07
1841.075,-1.9998316366981794,-0.5000011812769787,4.790564847052656e-07
1841.109,-1.9998316331403236,-0.5000011812176676,4.826148348305994e-07
1841.143,-1.999831618811222,-0.5000011812864584,4.96944101637513e-07
1841.177,-1.999831595948581,-0.5000011813266817,5.198067779123605e-07
1841.211,-1.9998315875842427,-0.5000011812900448,5.281711964823271e-07
1841.245,-1.9998315800911497,-0.5000011813398565,5.356644550816765e-07
1841.279,-1.9998315913795504,-0.5000011812603674,5.46953135604432e-07
1841.313,-1.9998316045109517,-0.500001181352954,5.600848633038682e-07
1841.347,-1.9998316117324164,-0.5000011813019697,5.673065080385902e-07
1841.381,-1.999831608552658,-0.5000011812431412,5.704868106396125e-07
1841.415,-1.9998315946068597,-0.5000011813122344,5.844327800904018e-07
1841.449,-1.9998315721233912,-0.5000011813527513,6.069162850180391e-07
1841.483,-1.9998315746150717,-0.500001181260273,6.094096810013152e-07
1841.517,-1.9998315804747673,-0.50000118137425,6.152704849968206e-07
1841.551,-1.9998315878311204,-0.500001181336676,6.226269340363984e-07
1841.585,-1.9998316061046841,-0.5000011813652331,6.409005201234362e-07
1841.619,-1.999831613501879,-0.5000011813366255,6.482977702976425e-07
1841.653,-1.9998316105854403,-0.5000011812773727,6.51214810796838e-07
1841.687,-1.9998315968954927,-0.5000011813461459,6.649049311612371e-07
1841.721,-1.9998315746707276,-0.5000011813863564,6.871297326763006e-07
1841.755,-1.999831559450613,-0.5000011813941965,7.02349849197612e-07
1841.789,-1.9998315435244582,-0.5000011813923199,7.182760041475372e-07
1841.823,-1.9998315540319975,-0.5000011812888673,7.287840526924573e-07
1841.857,-1.999831567884104,-0.5000011814063936,7.426366578244637e-07
1841.891,-1.9998315757827079,-0.5000011813560358,7.50535422122936e-07
1841.925,-1.99983157328375,-0.5000011812974946,7.530350656579419e-07
1841.959,-1.9998315600180236,-0.5000011813668986,7.663009735070292e-07
1841.993,-1.9998315382091862,-0.500001181407686,7.881098490503822e-07
1842.027,-1.9998315413704946,-0.5000011813154537,7.91272502546531e-07
1842.061,-1.9998315478987545,-0.500001181429676,7.978017616531598e-07
1842.095,-1.999831555919728,-0.5000011813923273,8.05822822048455e-07
1842.129,-1.999831574854383,-0.5000011814210907,8.247574988506204e-07
1842.163,-1.9998315829096904,-0.5000011813926757,8.328128564995363e-07
1842.197,-1.999831580648363,-0.5000011813336017,8.350749553273239e-07
1842.231,-1.9998315676110185,-0.5000011814025404,8.481124821295527e-07
1842.265,-1.9998315460356824,-0.5000011814429022,8.696878560670402e-07
1842.299,-1.9998315200107564,-0.5000011814318889,8.957127843893787e-07
1842.333,-1.9998315082504903,-0.5000011814076704,9.074730754208503e-07
1842.367,-1.99983151068261,-0.5000011814298883,9.099052965179773e-07
1842.401,-1.9998315123124226,-0.5000011814616205,9.115354181300487e-07
1842.435,-1.9998315323059903,-0.5000011813966374,9.315290914242484e-07
1842.469,-1.9998315429554565,-0.5000011814660942,9.421787841212697e-07
1842.503,-1.9998315528975872,-0.5000011814666009,9.521209148084717e-07
1842.537,-1.9998315538149243,-0.500001181447992,9.530384406321148e-07
1842.571,-1.9998315444263637,-0.5000011814005559,9.624271210631996e-07
1842.605,-1.9998315245359035,-0.5000011813941404,9.823175822656587e-07
1842.639,-1.9998314942476776,-0.5000011814753654,1.012605917104825e-06
1842.673,-1.9998314908024688,-0.5000011814119597,1.0160517093007792e-06
1842.707,-1.999831487861185,-0.5000011814912145,1.0189940607767866e-06
1842.741,-1.9998314924298957,-0.5000011814941643,1.0235627724720863e-06
1842.775,-1.9998315160846984,-0.500001181497166,1.0472175754457524e-06
1842.809,-1.9998315297683464,-0.5000011814615993,1.0609012696607458e-06
1842.843,-1.9998315344830613,-0.5000011815121661,1.0656162556658367e-06
1842.877,-1.9998315346272288,-0.5000011815103448,1.0657604347368529e-06
1842.911,-1.9998315283233103,-0.5000011814982354,1.0720643648658758e-06
1842.945,-1.999831511785377,-0.5000011814617952,1.0886023382576067e-06
